,chainId,dexId,baseToken,baseTokenAddress,quoteToken,quoteTokenAddress,pairAddress,liquidity,priceNative,ccxt
176,boba,0xc35DADB65012eC5796536bD9864eD8773aBc74C4,WETH,0xDeadDeAddeAddEAddeadDEaDDEAdDeaDDeAD0000,USDC,0x66a2A913e447d6b4BF33EFbec43aAeF87890FBbc,0x4F059F8d45230Cd5B37544E87eeBba033A5f1b17,"{""usd"":781313,""base"":311.7,""quote"":390657}",1566.256,1570.44
177,bsc,apeswap,LINK,0xF8A0BF9cF54Bb92F17374d9e9A321E6a111a51bD,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x092ADA3818DB7FBb8e0A2124Ff218C5125C1CcE6,"{""usd"":128917.11946309608,""base"":11493,""quote"":251.8}",0.02245,6.948
178,oasisemerald,yuzuswap,WETH,0x3223f17957Ba502cbe71401D55A0DB26E5F7c68F,wROSE,0x21C718C22D52d0F3a789b752D4c2fD5908a8A733,0x28c9D3e689B5d3629aFC2D69ef6a2799578574e0,"{""usd"":412137,""base"":166.6,""quote"":5747480}",29740.1535,1570.44
179,bsc,biswap,ETH,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,BTCB,0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c,0x6216E04cd40DB2c6FBEd64f1B5830A98D3A91740,"{""usd"":18986692.140323743,""base"":7578.43,""quote"":562.87}",0.06889,1570.44
180,bsc,0x670f55c6284c629c23baE99F585e3f17E8b9FC31,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,BUSD,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0x6AF4C4433474B2F8BA385AD62B23299c82846783,"{""usd"":104414.01781688118,""base"":204.02,""quote"":52207}",310.218,309.6
181,bsc,0xC2D8d27F3196D9989aBf366230a47384010440c0,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,BUSD,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,0x693d208D53fE2B3a0920530bA48635f050dc2fCa,"{""usd"":142544.32612284253,""base"":278.28,""quote"":71272}",311.5073,309.6
182,arbitrum,swapfish,WETH,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,USDC,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8,0x8Bc2Cd9DAB840231A0Dab5B747b8A6085c4eA459,"{""usd"":852985.626058,""base"":342.61,""quote"":426493}",1564.7805,1570.44
183,canto,slingshotfinance,ETH,0x5FD55A1B9FC24967C4dB09C513C3BA0DFa7FF687,WCANTO,0x826551890Dc65655a0Aceca109aB11AbDbD7a07B,0x216400ba362d8FCE640085755e47075109718C8B,"{""usd"":3756307,""base"":1507,""quote"":18400110}",4204.7488,1570.44
184,arbitrum,kyberswap,WBTC,0x2f2a2543B76A4166549F7aaB2e75Bef0aefC5B0f,WETH,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0x2a83E1aa650b364Ac88b39f1F67A34abCca8e6F2,"{""usd"":239836.13995917267,""base"":23.98,""quote"":96.29}",14.5122,22864.44
185,cronos,candycity,WETH,0xe44Fd7fCb2b1581822D0c862B68222998a0c299a,WCRO,0x5C7F8A570d578ED84E63fdFA7b1eE72dEae1AE23,0x27367196F4674d3afB871250E67adf2EcaEDF4bc,"{""usd"":60809,""base"":24.32,""quote"":518117}",20249.1079,1570.44
186,ethereum,swapr,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,DAI,0x6B175474E89094C44Da98b954EedeAC495271d0F,0x7515Be43D16f871588ADc135d58a9c30A71Eb34F,"{""usd"":687891,""base"":274.9,""quote"":343946}",1568.4778,1570.44
187,bsc,babyswap,ETH,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x12C69cbebb5AeD7C85A01bc2206318fB6c03E940,"{""usd"":575949.2663482998,""base"":231.26,""quote"":1125.42}",5.0463,1570.44
