,chainId,dexId,baseToken,baseTokenAddress,quoteToken,quoteTokenAddress,pairAddress,liquidity,priceNative,priceUsd,ccxt,ccxt_ticker
1969,polygon,quickswap,agEUR,0xE0B52e49357Fd4DAf2c15e02058DCE6BC0057db4,miMATIC,0xa3Fa99A148fA48D14Ed51d610c367C61876997F1,0x63AEfd3aEfeeDCe0860A5Ef21c1Af548641620dd,"{""usd"":155528.49512191385,""base"":17239,""quote"":77764}",1.0919,1.09,1.0792,EUR
1975,optimism,velodrome,alETH,0x3E29D3A9316dAB217754d13b28646B76607c5f04,ETH,0x4200000000000000000000000000000000000006,0x6fD5BEe1Ddb4dbBB0b7368B080Ab99b8BA765902,"{""usd"":948581.0298257554,""base"":622.27,""quote"":378.95}",0.9664,1572.89,1627.34,ETH
1978,fantom,sushiswap,BTC,0x321162Cd933E2Be498Cd2267a90534A804051b11,ETH,0x74b23882a30290451A17c44f4F05243b6b58C76d,0x33e29a9eBdD370a8D50656e822aBFD3A910dA1b6,"{""usd"":160156.0696078225,""base"":4.76,""quote"":63.95}",14.1139,23069.13,22905.43,BTC
1980,fantom,sushiswap,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,USDC,0x04068DA6C83AFCFA0e13ba15A6696662335D5B75,0xA48869049e36f8Bfe0Cc5cf655632626988c0140,"{""usd"":243060.51233,""base"":561117,""quote"":121530}",0.5573,0.5573,0.5618,FTM
1982,moonbeam,stellaswap,WETH,0xab3f0245B83feB11d15AAffeFD7AD465a59817eD,WGLMR,0xAcc15dC74880C9944775448304B263D191c6077F,0x8577273FB3B72306F3A59E26ab77116f5D428DAa,"{""usd"":3351211,""base"":1340,""quote"":5276379}",3519.8572,1621.92,1627.34,ETH
1992,fantom,spookyswap,LINK,0xb3654dc3D10Ea7645f8319668E8F54d2574FBdC8,WFTM,0x21be370D5312f44cB42ce377BC9b8a0cEF1A4C83,0x89d9bC2F2d091CfBFc31e333D6Dc555dDBc2fd29,"{""usd"":1366549.9626162543,""base"":121127,""quote"":3147333}",12.4498,6.94,6.971,LINK
1993,bsc,biswap,SOL,0x570A5D26f7765Ecb712C0924E4De545B89fD43dF,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x3530F7d8D55c93D778e17cbd30bf9eB07b884f35,"{""usd"":430397.0241132657,""base"":16433,""quote"":840.48}",0.07156,23.28,23.39,SOL
1995,velas,astroswap,ADA,0x3611Fbfb06ffBcEf9Afb210f6Ace86742e6c14a4,BUSD,0xc111c29A988AE0C0087D97b33C6E6766808A3BD3,0xc12e7E665B7d6537f87635655E70F7387Da12D90,"{""usd"":463478,""base"":855037,""quote"":231739}",0.3762,0.3762,0.3929,ADA
2003,dogechain,yodeswap,BUSD,0x332730a4F6E03D9C55829435f10360E13cfA41Ff,USDC,0x765277EebeCA2e31912C9946eAe1021199B39C61,0xe180b62C4CF96112e7999200EF9275F83F7E3088,"{""usd"":141853,""base"":70469,""quote"":70927}",1.0047,1.0,0.9998,BUSD
2004,celo,uniswap,WETH,0x66803FB87aBd4aaC3cbB3fAd7C3aa01f6F3FB207,CELO,0x471EcE3750Da237f93B8E339c536989b8978a438,0xd88D5F9E6c10E6FebC9296A454f6C2589b1E8fAE,"{""usd"":52605.14752527747,""base"":10.5,""quote"":53987}",2017.7323,1663.65,1627.34,ETH
2007,ethereum,sushiswap,MANA,0x0F5D2fB29fb7d3CFeE444a200298f468908cC942,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x1bEC4db6c3Bc499F3DbF289F5499C30d541FEc97,"{""usd"":146361,""base"":231978,""quote"":58.59}",0.0004501,0.733,0.7297,MANA
2011,ethereum,uniswap,BAL,0xba100000625a3754423978a60c9317c58a424e3D,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xDC2c21F1B54dDaF39e944689a8f90cb844135cc9,"{""usd"":67213,""base"":7219,""quote"":22.73}",0.004252,6.91,6.92,BAL
2021,bsc,0x738B815eaDD06E0041b52B0C9d4F0d0D277B24bA,UNI,0xBf5140A22578168FD562DCcF235E5D43A02ce9B1,USDT,0x55d398326f99059fF775485246999027B3197955,0x3BDC723F97CA80262c0D3620076b0E9d0Ef2B6dA,"{""usd"":169125.9651082683,""base"":15875,""quote"":84563}",6.8432,6.84,6.834,UNI
2023,bsc,biswap,BCH,0x8fF795a6F4D97E7887C79beA79aba5cc76444aDf,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x910dE0B7075BF654Dc588e3c10DEd4FE1C6bBE87,"{""usd"":109327.20989181615,""base"":546.89,""quote"":213.41}",0.4147,134.92,134.3,BCH
2032,arbitrum,swapfish,WBTC,0x2f2a2543B76A4166549F7aaB2e75Bef0aefC5B0f,WETH,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1,0xf7C6FFA90E8f240481234fb3fe9E8F60df74ED87,"{""usd"":1356283.9152901848,""base"":40.34,""quote"":543.02}",14.0361,22980.11,22905.43,BTC
2033,optimism,uniswap,LINK,0x350a791Bfc2C21F9Ed5d10980Dad2e2638ffa7f6,ETH,0x4200000000000000000000000000000000000006,0x19EA026886cbB7A900EcB2458636d72b5CaE223B,"{""usd"":164405,""base"":24448,""quote"":21.1}",0.004297,6.99,6.971,LINK
2034,optimism,uniswap,UNI,0x6fd9d7AD17242c41f7131d257212c54A0e816691,ETH,0x4200000000000000000000000000000000000006,0xAD4c666fC170B468B19988959eb931a3676f0e9F,"{""usd"":245073,""base"":34222,""quote"":49.76}",0.004187,6.8,6.834,UNI
2036,avalanche,traderjoe,CRV,0x47536F17F4fF30e64A96a7555826b8f9e66ec468,WAVAX,0xB31f66AA3C1e785363F0875A1B74E27b85FD66c7,0x78dA10824F4029Adfb79669c4bd4F1962d08a0Bb,"{""usd"":148585,""base"":137746,""quote"":6337}",0.05224,1.04,1.047,CRV
2048,ethereum,uniswap,REN,0x408e41876cCCDC0F92210600ef50372656052a38,WETH,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x8Bd1661Da98EBDd3BD080F0bE4e6d9bE8cE9858c,"{""usd"":246247,""base"":1986621,""quote"":98.58}",6.215e-05,0.101,0.101188,REN
2055,bsc,planetfinance,BTCB,0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c,WBNB,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,0x4c4f18da91063F1c34a9396B2d97e95b163F2b0c,"{""usd"":255650.7129234156,""base"":7.6,""quote"":498.99}",70.3614,22897.8,22905.43,BTC
2064,polygon,balancer,AVAX,0x2C89bbc92BD86F8075d1DEcc58C7F4E0107f286b,WETH,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,0x7c9cf12d783821d5c63d8e9427af5c44bad92445000100000000000000000051-0x2C89bbc92BD86F8075d1DEcc58C7F4E0107f286b-0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619,"{""usd"":64968,""base"":2797,""quote"":25.89}",0.01222,19.85,20.03,AVAX
2070,aurora,polaris,WETH,0xC9BdeEd33CD01541e1eeD10f90519d2C06Fe3feB,USDC.e,0xB12BFcA5A55806AaF64E99521918A4bf0fC40802,0x9cd44e44e8a61bc7dc34b04c762a3c0137a3707c000200000000000000000002-0xB12BFcA5A55806AaF64E99521918A4bf0fC40802-0xC9BdeEd33CD01541e1eeD10f90519d2C06Fe3feB,"{""usd"":137911,""base"":55.32,""quote"":68955}",1624.97,1624.97,1627.34,ETH
2071,telos,0x411172Dfcd5f68307656A1ff35520841C2F7fAec,ETH,0xfA9343C3897324496A05fC75abeD6bAC29f8A40f,WTLOS,0xD102cE6A4dB07D247fcc28F366A623Df0938CA9E,0xCfd8505E3c79D777AF2CA3B5507B64480645f516,"{""usd"":361836,""base"":146.7,""quote"":1552694}",10438.5885,1643.51,1627.34,ETH
2072,conflux,swappi,BNB,0x94bd7A37d2cE24cC597E158fACaa8d601083ffeC,WCFX,0x14b2D3bC65e74DAE1030EAFd8ac30c533c976A9b,0x8A61e6cd8eEb564FF66459a2614cE98177F48Ca9,"{""usd"":128652,""base"":250.8,""quote"":2851597}",5161.5185,324.82,325.9,BNB
